regime,policy,episode,total_return,service_level,avg_on_hand,holding_cost,penalty_cost
stationary,base_stock,66,2633.0000,0.9787,6.1923,322.0000,55.0000
stationary,base_stock,67,2721.0000,0.9771,6.0962,317.0000,60.0000
stationary,base_stock,68,2704.0000,0.9714,5.7885,301.0000,75.0000
stationary,base_stock,69,2755.0000,0.9885,6.0962,317.0000,30.0000
stationary,base_stock,70,2896.0000,0.9610,5.1154,266.0000,110.0000
stationary,base_stock,71,2574.0000,0.9860,6.8269,355.0000,35.0000
stationary,base_stock,72,2471.0000,0.9817,7.6154,396.0000,45.0000
stationary,base_stock,73,2610.0000,0.9940,6.6346,345.0000,15.0000
stationary,base_stock,74,2616.0000,0.9881,6.8077,354.0000,30.0000
stationary,base_stock,75,2425.0000,0.9836,7.2115,375.0000,40.0000
stationary,base_stock,76,2562.0000,0.9919,6.6538,346.0000,20.0000
stationary,base_stock,77,2366.0000,0.9957,7.9615,414.0000,10.0000
stationary,base_stock,78,2559.0000,0.9689,6.7115,349.0000,80.0000
stationary,base_stock,79,2662.0000,0.9787,6.4038,333.0000,55.0000
stationary,base_stock,80,2669.0000,0.9733,6.1731,321.0000,70.0000
stationary,base_stock,81,2757.0000,0.9721,5.5000,286.0000,75.0000
stationary,base_stock,82,2635.0000,0.9767,6.4808,337.0000,60.0000
stationary,base_stock,83,2926.0000,0.9782,5.0385,262.0000,60.0000
stationary,base_stock,84,2684.0000,0.9922,6.3846,332.0000,20.0000
stationary,base_stock,85,2414.0000,0.9916,7.7692,404.0000,20.0000
stationary,base_stock,86,2446.0000,0.9917,7.5769,394.0000,20.0000
stationary,base_stock,87,2907.0000,0.9663,5.0385,262.0000,95.0000
stationary,base_stock,88,2959.0000,0.9732,4.5385,236.0000,75.0000
stationary,base_stock,89,2524.0000,0.9780,6.8269,355.0000,55.0000
stationary,base_stock,90,2760.0000,0.9793,5.8654,305.0000,55.0000
stationary,base_stock,91,2634.0000,0.9843,6.5000,338.0000,40.0000
stationary,base_stock,92,2534.0000,0.9919,7.0385,366.0000,20.0000
stationary,base_stock,93,2865.0000,0.9852,5.3654,279.0000,40.0000
stationary,base_stock,94,2760.0000,0.9829,5.8269,303.0000,45.0000
stationary,base_stock,95,2550.0000,0.9724,6.6154,344.0000,70.0000
stationary,base_stock,96,2816.0000,0.9795,5.3654,279.0000,55.0000
stationary,base_stock,97,2554.0000,0.9650,6.3846,332.0000,90.0000
stationary,base_stock,98,2790.0000,0.9850,5.7692,300.0000,40.0000
stationary,base_stock,99,2522.0000,0.9898,7.0962,369.0000,25.0000
stationary,q_learning,0,2503.0000,0.9807,9.0192,469.0000,50.0000
stationary,q_learning,1,2406.0000,1.0000,9.8462,512.0000,0.0000
stationary,q_learning,2,2287.0000,0.9756,9.7500,507.0000,60.0000
stationary,q_learning,3,2826.0000,0.9964,8.1923,426.0000,10.0000
